ABNANL2AXXX,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,,,,,,,,,,,,,
ABNANL2AXXX,549300D2ZDDLNMDEQ727,ABN AMRO Private Banking Belgium,,,,,,,,,,,,,
ABNASGF1XXX,549300KHB4GQQCIN1X35,UBS Futures Singapore Ltd.,,,,,,,,,,,,,
ABNCNL2AXXX,G8ZTNESVNKW4NN761W05,ABN AMRO Clearing Bank N.V.,,,,,,,,,,,,,
ABNGGB2LXXX,5493002IGEWNBCWX0S85,THE ACCESS BANK UK LIMITED,,,,,,,,,,,,,
ABNGGHACXXX,254900YETXNVD14PJP08,Access Bank (Ghana) PLC,,,,,,,,,,,,,
ABNGMZMAXXX,254900TL0TIDM7UAQ956,AFRICAN BANKING CORPORATION MOÇAMBIQUE S.A,,,,,,,,,,,,,
ABNGNGLAXXX,029200328C3N9YI2D660,ACCESS BANK PLC,,,,,,,,,,,,,
ABOCCNBJXXX,549300E7TSGLCOVSY746,中国农业银行股份有限公司,,,,,,,,,,,,,
ABOCLULLXXX,5493000Z65DBUM625D68,Agricultural Bank of China (Luxembourg) S.A.,,,,,,,,,,,,,
ABOCRUMMXXX,25340020UL0L3B2R3N51,"Общество с ограниченной ответственностью Чайна сельскохозяйственный банк""""",,,,,,,,,,,,,
ABOOFIH1XXX,549300BFCJLOU1HWRC77,EAB Varainhoito Oy,,,,,,,,,,,,,
ABPAPKKAXXX,529900X6XIDYH83WGV81,Allied Bank Limited,,,,,,,,,,,,,
ABPGCH21XXX,213800YZBOTFGE38UH93,ABSOLUTE CAPITAL GROUP AG,,,,,,,,,,,,,
ABPIGB21XXX,549300EI2QZDOKF0UR93,ABERDEEN ASSET MANAGERS LIMITED,,,,,,,,,,,,,
ABPNIT22XXX,815600D6F26FEBDF0C66,AZIENDA BRESCIANA PETROLI NOCIVELLI S.P.A. (A.B.P. NOCIVELLI S.P.A.),,,,,,,,,,,,,
ABPTNL2HXXX,549300XWC21UGFTCR876,APG Asset Management N.V.,,,,,,,,,,,,,
ABQQQAQAXXX,213800KXAR1MXC1DZ106,Ahli Bank (Q.P.S.C),,,,,,,,,,,,,
ABRAITM1XXX,8156009B4E1A08296A35,"BLUE SOCIETA' DI GESTIONE DEL RISPARMIO SOCIETA' PER AZIONI O, IN FORMA ABBREVIATA, BLUE SGR S.P.A.",,,,,,,,,,,,,
ABRKEGCAXXX,213800O6ACOQMPIVGQ80,ALBARAKA BANK EGYPT SAE,,,,,,,,,,,,,
ABRRIT21XXX,815600CA6500808A9245,2019 POPOLARE BARI RMBS S.R.L.,,,,,,,,,,,,,
ABRUIE21XXX,63540047ZYGODPFBLY43,Abbeyfeale Credit Union Limited,,,,,,,,,,,,,
ABSAZAJ2XXX,213800CEN8XVF5RLT897,ABSA STOCKBROKERS AND PORTFOLIO MANAGEMENT (PTY) LIMITED,,,,,,,,,,,,,
ABSAZAJ3XXX,21380061Y9JUANJ4DJ45,ABSA Capital Securities Proprietary Limited,,,,,,,,,,,,,
ABSAZAJJXXX,SLI1CVYMJ21DST0Q8K25,Absa Bank Limited,,,,,,,,,,,,,
ABSBBA22XXX,529900II9UW65S2XHJ20,Sparkasse Bank dd Bosna i Hercegovina,,,,,,,,,,,,,
ABSDIDJ1XXX,254900LR9K5SVPP8BP79,PT NISP Sekuritas,,,,,,,,,,,,,
ABSGAEADXXX,894500UD73S4NGTZLD55,S.P. Hinduja Advisory Limited,,,,,,,,,,,,,
ABSGCHGGXXX,5299003O1XGBX95Y6O90,S.P. Hinduja Banque Privée SA,,,,,,,,,,,,,
ABSLRUMMXXX,253400YGMAHH3EQH3G74,"Акционерный коммерческий банк Абсолют Банк"" (публичное акционерное общество)""",,,,,,,,,,,,,
ABSNGB21XXX,549300EI2QZDOKF0UR93,ABERDEEN ASSET MANAGERS LIMITED,,,,,,,,,,,,,
ABSOCH22XXX,529900IP04I4173GZB60,Alternative Bank Schweiz AG,,,,,,,,,,,,,
ABSRNOK1XXX,2138005DRCU66B8BNY04,ABG SUNDAL COLLIER ASA,,,,,,,,,,,,,
ABSYHKH1XXX,549300RBFB4BPRK3BJ06,ABCI Securities Company Limited,,,,,,,,,,,,,
ABTAITM1XXX,81560076BBCFC45A0964,ABITARE IN S.P.A.,,,,,,,,,,,,,
ABTEGB21XXX,213800F785TUXEDPMN35,ALBEMARLE ASSET MANAGEMENT LIMITED,,,,,,,,,,,,,
ABTGITM1XXX,815600C45A63B2E54D58,ALFIO BARDOLLA TRAINING GROUP S.P.A.,,,,,,,,,,,,,
ABTPFRP1XXX,969500GCRFV2DBB02H26,APAS BATIMENT TRAVAUX PUBLICS,,,,,,,,,,,,,
ABTRZAJ1XXX,2138004MXEU34VKAPI32,ABSA TRUST LIMITED,,,,,,,,,,,,,
ABTTUS44XXX,HQD377W2YR662HK5JX27,ABBOTT LABORATORIES,,,,,,,,,,,,,
ABTZPH21XXX,254900MDNXYJKHXO0P61,Aboitiz Equity Ventures Inc.,,,,,,,,,,,,,
ABUCSES1XXX,549300FMOYCQNLVRRP95,ABG Sundal Collier AB,,,,,,,,,,,,,
ABUTGB21XXX,213800BTRTXBC24XE442,ABERFORTH PARTNERS LLP,,,,,,,,,,,,,
ABVAFRPPXXX,9695007DH2IZ2OG6B470,ALBEA SERVICES,,,,,,,,,,,,,
ABVIVGVGXXX,254900UWGLHORAFXLK14,Bank of Asia (BVI) Limited,,,,,,,,,,,,,
ABVOSEGGXXX,549300HGV012CNC8JD22,Aktiebolaget Volvo,,,,,,,,,,,,,
ABVRATW1XXX,529900682OWZY2I4CY89,VB Verbund-Beteiligung eG,,,,,,,,,,,,,
ABVSZAJJXXX,3789002C602FB94A7F57,Absa Asset Management (Pty) Limited,,,,,,,,,,,,,
ABXAAU41XXX,54930025L3BH5VB6D378,Allocated Bullion Exchange Limited,,,,,,,,,,,,,
ACAAFR21XXX,96950093IJQEZ755P789,ACTE IARD,,,,,,,,,,,,,
ACABAZ22XXX,2534002K28P0AJGQJZ40,"AccessBank Closed Joint-Stock Company""""",,,,,,,,,,,,,
ACAGESMMXXX,9598002U9BK2VP1RTG14,ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS,,,,,,,,,,,,,
